timestamp,source_file,user,source_ip,country,success,rule_alert,base_country_risk,country_risk,hour,failed_last_hour,logins_last_hour,unusual_hour,anomaly,anomaly_label,anomaly_score,anomaly_reason,safety
2026-05-05 19:00:01,normal_syslog_1000.log,system,0.0.0.0,Luxembourg (Local/EU - Safe),1,1,0.2,0.33,19,0,73,1,1,normal,0.04,,suspicious
2026-05-05 19:00:38,normal_syslog_1000.log,system,0.0.0.0,Luxembourg (Local/EU - Safe),1,1,0.2,0.33,19,0,73,1,1,normal,0.04,,suspicious
2026-05-05 19:01:15,normal_syslog_1000.log,system,0.0.0.0,Luxembourg (Local/EU - Safe),1,1,0.2,0.33,19,0,73,1,1,normal,0.04,,suspicious
2026-05-05 19:03:06,normal_syslog_1000.log,system,0.0.0.0,Luxembourg (Local/EU - Safe),1,1,0.2,0.33,19,0,72,1,1,normal,0.04,,suspicious
2026-05-05 19:03:43,normal_syslog_1000.log,system,0.0.0.0,Luxembourg (Local/EU - Safe),1,1,0.2,0.33,19,0,73,1,1,normal,0.04,,suspicious
2026-05-05 19:04:20,normal_syslog_1000.log,system,0.0.0.0,Luxembourg (Local/EU - Safe),1,1,0.2,0.33,19,0,73,1,1,normal,0.04,,suspicious
2026-05-05 19:04:57,normal_syslog_1000.log,system,0.0.0.0,Luxembourg (Local/EU - Safe),1,1,0.2,0.33,19,0,73,1,1,normal,0.04,,suspicious
2026-05-05 19:05:34,normal_syslog_1000.log,system,0.0.0.0,Luxembourg (Local/EU - Safe),1,1,0.2,0.33,19,0,73,1,1,normal,0.04,,suspicious
2026-05-05 19:06:48,normal_syslog_1000.log,system,0.0.0.0,Luxembourg (Local/EU - Safe),1,1,0.2,0.33,19,0,72,1,1,normal,0.04,,suspicious
2026-05-05 19:07:25,normal_syslog_1000.log,system,0.0.0.0,Luxembourg (Local/EU - Safe),1,1,0.2,0.33,19,0,73,1,1,normal,0.04,,suspicious
2026-05-05 19:08:02,normal_syslog_1000.log,system,0.0.0.0,Luxembourg (Local/EU - Safe),1,1,0.2,0.33,19,0,73,1,1,normal,0.04,,suspicious
2026-05-05 19:08:39,normal_syslog_1000.log,system,0.0.0.0,Luxembourg (Local/EU - Safe),1,1,0.2,0.33,19,0,73,1,1,normal,0.04,,suspicious
2026-05-05 19:10:30,normal_syslog_1000.log,system,0.0.0.0,Luxembourg (Local/EU - Safe),1,1,0.2,0.33,19,0,72,1,1,normal,0.04,,suspicious
2026-05-05 19:11:07,normal_syslog_1000.log,system,0.0.0.0,Luxembourg (Local/EU - Safe),1,1,0.2,0.33,19,0,73,1,1,normal,0.04,,suspicious
2026-05-05 19:11:44,normal_syslog_1000.log,system,0.0.0.0,Luxembourg (Local/EU - Safe),1,1,0.2,0.33,19,0,73,1,1,normal,0.04,,suspicious
2026-05-05 19:12:21,normal_syslog_1000.log,system,0.0.0.0,Luxembourg (Local/EU - Safe),1,1,0.2,0.33,19,0,73,1,1,normal,0.04,,suspicious
2026-05-05 19:12:58,normal_syslog_1000.log,system,0.0.0.0,Luxembourg (Local/EU - Safe),1,1,0.2,0.33,19,0,73,1,1,normal,0.04,,suspicious
2026-05-05 19:14:12,normal_syslog_1000.log,system,0.0.0.0,Luxembourg (Local/EU - Safe),1,1,0.2,0.33,19,0,72,1,1,normal,0.04,,suspicious
2026-05-05 19:14:49,normal_syslog_1000.log,system,0.0.0.0,Luxembourg (Local/EU - Safe),1,1,0.2,0.33,19,0,73,1,1,normal,0.04,,suspicious
2026-05-05 19:15:26,normal_syslog_1000.log,system,0.0.0.0,Luxembourg (Local/EU - Safe),1,1,0.2,0.33,19,0,73,1,1,normal,0.04,,suspicious
2026-05-05 19:16:03,normal_syslog_1000.log,system,0.0.0.0,Luxembourg (Local/EU - Safe),1,1,0.2,0.33,19,0,73,1,1,normal,0.04,,suspicious
2026-05-05 04:01:51,normal_syslog_1000.log,system,0.0.0.0,Luxembourg (Local/EU - Safe),1,1,0.2,0.28,4,0,0,1,1,normal,0.13,,suspicious
