timestamp,source_file,user,source_ip,country,success,base_country_risk,country_risk,hour,failed_last_hour,logins_last_hour,unusual_hour,anomaly,anomaly_label,anomaly_score,anomaly_reason,safety
2026-05-06 00:50:30,new_unique_syslog_1000.log,baduser1,5.189.203.100,United States (Non-EU - Unsafe),0,0.95,0.99,0,0,0,1,-1,anomaly,-0.02,"Unusual hour (outside typical 8-18), High country risk (non-EU location), Failed login",suspicious
2026-05-06 03:20:30,new_unique_syslog_1000.log,baduser2,41.201.12.5,United States (Non-EU - Unsafe),0,0.95,0.99,3,0,0,1,-1,anomaly,-0.0,"Unusual hour (outside typical 8-18), High country risk (non-EU location), Failed login",suspicious
2026-05-06 07:30:30,new_unique_syslog_1000.log,baduser3,103.21.58.1,United States (Non-EU - Unsafe),0,0.95,0.99,7,0,0,1,-1,anomaly,-0.0,"Unusual hour (outside typical 8-18), High country risk (non-EU location), Failed login",suspicious
2026-05-06 00:03:30,new_unique_syslog_1000.log,victor,46.101.1.1,United States (Non-EU - Unsafe),1,0.95,0.99,0,0,0,1,1,normal,0.02,,suspicious
2026-05-06 00:07:00,new_unique_syslog_1000.log,trudy,88.198.36.0,United States (Non-EU - Unsafe),1,0.95,0.99,0,0,0,1,1,normal,0.02,,suspicious
2026-05-06 00:14:00,new_unique_syslog_1000.log,eve,79.137.0.1,United States (Non-EU - Unsafe),1,0.95,0.99,0,0,0,1,1,normal,0.02,,suspicious
2026-05-06 00:17:30,new_unique_syslog_1000.log,dave,85.214.132.10,United States (Non-EU - Unsafe),1,0.95,0.99,0,0,0,1,1,normal,0.02,,suspicious
2026-05-06 00:21:00,new_unique_syslog_1000.log,carol,46.101.1.1,United States (Non-EU - Unsafe),1,0.95,0.99,0,0,0,1,1,normal,0.02,,suspicious
2026-05-06 00:28:00,new_unique_syslog_1000.log,alice,2.16.4.5,United States (Non-EU - Unsafe),1,0.95,0.99,0,0,0,1,1,normal,0.02,,suspicious
2026-05-06 00:10:30,new_unique_syslog_1000.log,mallory,2.16.4.5,United States (Non-EU - Unsafe),1,0.95,0.99,0,0,1,1,1,normal,0.03,,suspicious
2026-05-06 00:24:30,new_unique_syslog_1000.log,bob,88.198.36.0,United States (Non-EU - Unsafe),1,0.95,0.99,0,0,1,1,1,normal,0.03,,suspicious
2026-05-06 00:42:00,new_unique_syslog_1000.log,eve,88.198.36.0,United States (Non-EU - Unsafe),1,0.95,0.99,0,0,1,1,1,normal,0.03,,suspicious
2026-05-06 00:45:30,new_unique_syslog_1000.log,dave,2.16.4.5,United States (Non-EU - Unsafe),1,0.95,0.99,0,0,2,1,1,normal,0.03,,suspicious
2026-05-06 00:49:00,new_unique_syslog_1000.log,carol,79.137.0.1,United States (Non-EU - Unsafe),1,0.95,0.99,0,0,1,1,1,normal,0.03,,suspicious
2026-05-06 00:56:00,new_unique_syslog_1000.log,alice,46.101.1.1,United States (Non-EU - Unsafe),1,0.95,0.99,0,0,1,1,1,normal,0.03,,suspicious
2026-05-06 08:03:00,new_unique_syslog_1000.log,trudy,2.16.4.5,United States (Non-EU - Unsafe),1,0.95,0.95,8,0,1,0,1,normal,0.03,,suspicious
2026-05-06 08:13:30,new_unique_syslog_1000.log,dave,46.101.1.1,United States (Non-EU - Unsafe),1,0.95,0.95,8,0,4,0,1,normal,0.03,,suspicious
