timestamp,source_file,user,source_ip,country,success,base_country_risk,country_risk,hour,failed_last_hour,logins_last_hour,unusual_hour,anomaly,anomaly_label,anomaly_score,anomaly_reason
2026-05-05 19:33:26,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.78,19,5,99,1,-1,anomaly,-0.04,"Unusual hour (outside typical 8-18), 5 recent failed login(s) in last hour, Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.78)"
2026-05-05 02:17:05,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.81,2,6,50,1,-1,anomaly,-0.03,"Unusual hour (outside typical 8-18), 6 recent failed login(s) in last hour, High country risk (non-EU location), Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.81)"
2026-05-05 19:06:01,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.75,19,4,122,1,-1,anomaly,-0.03,"Unusual hour (outside typical 8-18), 4 recent failed login(s) in last hour, Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.75)"
2026-05-05 19:16:59,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.75,19,4,116,1,-1,anomaly,-0.03,"Unusual hour (outside typical 8-18), 4 recent failed login(s) in last hour, Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.75)"
2026-05-05 19:22:28,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.75,19,4,108,1,-1,anomaly,-0.03,"Unusual hour (outside typical 8-18), 4 recent failed login(s) in last hour, Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.75)"
2026-05-05 02:06:07,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.78,2,5,48,1,-1,anomaly,-0.02,"Unusual hour (outside typical 8-18), 5 recent failed login(s) in last hour, Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.78)"
2026-05-05 02:11:36,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.78,2,5,48,1,-1,anomaly,-0.02,"Unusual hour (outside typical 8-18), 5 recent failed login(s) in last hour, Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.78)"
2026-05-05 12:03:48,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.73,12,6,123,0,-1,anomaly,-0.02,"6 recent failed login(s) in last hour, Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.73)"
2026-05-05 21:39:33,mixed_syslog_2000.log,admin,203.0.113.77,Local/Private (LU),0,0.2,0.56,21,6,6,1,-1,anomaly,-0.02,"Unusual hour (outside typical 8-18), 6 recent failed login(s) in last hour, Failed login, Dynamic risk boost applied (0.20 -> 0.56)"
2026-05-05 22:28:54,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.78,22,5,50,1,-1,anomaly,-0.02,"Unusual hour (outside typical 8-18), 5 recent failed login(s) in last hour, Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.78)"
2026-05-05 10:08:39,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.7000000000000001,10,5,133,0,-1,anomaly,-0.01,"5 recent failed login(s) in last hour, Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.70)"
2026-05-05 10:19:37,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.7000000000000001,10,5,136,0,-1,anomaly,-0.01,"5 recent failed login(s) in last hour, Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.70)"
2026-05-05 10:30:35,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.7000000000000001,10,5,133,0,-1,anomaly,-0.01,"5 recent failed login(s) in last hour, Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.70)"
2026-05-05 11:58:19,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.7000000000000001,11,5,124,0,-1,anomaly,-0.01,"5 recent failed login(s) in last hour, Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.70)"
2026-05-05 21:34:04,mixed_syslog_2000.log,admin,203.0.113.77,Local/Private (LU),0,0.2,0.53,21,5,5,1,-1,anomaly,-0.01,"Unusual hour (outside typical 8-18), 5 recent failed login(s) in last hour, Failed login, Dynamic risk boost applied (0.20 -> 0.53)"
2026-05-05 22:12:27,mixed_syslog_2000.log,admin,203.0.113.77,Local/Private (LU),0,0.2,0.5,22,4,4,1,-1,anomaly,-0.01,"Unusual hour (outside typical 8-18), 4 recent failed login(s) in last hour, Failed login, Dynamic risk boost applied (0.20 -> 0.50)"
2026-05-05 23:29:13,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.66,23,1,45,1,-1,anomaly,-0.01,"Unusual hour (outside typical 8-18), 1 recent failed login(s) in last hour, Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.66)"
2026-05-06 00:24:03,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.75,0,4,46,1,-1,anomaly,-0.01,"Unusual hour (outside typical 8-18), 4 recent failed login(s) in last hour, Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.75)"
2026-05-06 01:02:26,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.75,1,4,52,1,-1,anomaly,-0.01,"Unusual hour (outside typical 8-18), 4 recent failed login(s) in last hour, Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.75)"
2026-05-05 00:21:56,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.66,0,1,18,1,-1,anomaly,-0.0,"Unusual hour (outside typical 8-18), 1 recent failed login(s) in last hour, Failed login, Dynamic risk boost applied (0.40 -> 0.66)"
2026-05-05 00:38:23,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.69,0,2,32,1,-1,anomaly,-0.0,"Unusual hour (outside typical 8-18), 2 recent failed login(s) in last hour, Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.69)"
2026-05-05 01:55:09,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.75,1,4,49,1,-1,anomaly,-0.0,"Unusual hour (outside typical 8-18), 4 recent failed login(s) in last hour, Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.75)"
2026-05-05 09:24:47,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.64,9,3,72,0,-1,anomaly,-0.0,"3 recent failed login(s) in last hour, Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.64)"
2026-05-05 09:35:45,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.67,9,4,90,0,-1,anomaly,-0.0,"4 recent failed login(s) in last hour, Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.67)"
2026-05-05 21:06:39,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.75,21,4,50,1,-1,anomaly,-0.0,"Unusual hour (outside typical 8-18), 4 recent failed login(s) in last hour, Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.75)"
2026-05-05 21:28:35,mixed_syslog_2000.log,admin,203.0.113.77,Local/Private (LU),0,0.2,0.5,21,4,4,1,-1,anomaly,-0.0,"Unusual hour (outside typical 8-18), 4 recent failed login(s) in last hour, Failed login, Dynamic risk boost applied (0.20 -> 0.50)"
2026-05-05 22:01:29,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.75,22,4,51,1,-1,anomaly,-0.0,"Unusual hour (outside typical 8-18), 4 recent failed login(s) in last hour, Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.75)"
2026-05-05 22:06:58,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.75,22,4,51,1,-1,anomaly,-0.0,"Unusual hour (outside typical 8-18), 4 recent failed login(s) in last hour, Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.75)"
2026-05-05 22:50:50,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.75,22,4,50,1,-1,anomaly,-0.0,"Unusual hour (outside typical 8-18), 4 recent failed login(s) in last hour, Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.75)"
2026-05-05 23:45:40,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.69,23,2,42,1,-1,anomaly,-0.0,"Unusual hour (outside typical 8-18), 2 recent failed login(s) in last hour, Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.69)"
2026-05-05 23:51:09,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.69,23,2,41,1,-1,anomaly,-0.0,"Unusual hour (outside typical 8-18), 2 recent failed login(s) in last hour, Failed login, Very high login frequency, Dynamic risk boost applied (0.40 -> 0.69)"
2026-05-05 00:54:50,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.72,0,3,45,1,1,normal,0.0,
2026-05-05 01:49:40,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.75,1,4,47,1,1,normal,0.0,
2026-05-05 08:29:57,mixed_syslog_2000.log,root,185.220.101.33,Germany (EU - Safe),0,0.2,0.42000000000000004,8,4,4,0,1,normal,0.0,
2026-05-05 08:46:24,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.64,8,3,44,0,1,normal,0.0,
2026-05-05 09:19:18,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.64,9,3,65,0,1,normal,0.0,
2026-05-05 09:46:43,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.67,9,4,107,0,1,normal,0.0,
2026-05-05 09:52:12,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.67,9,4,117,0,1,normal,0.0,
2026-05-05 11:52:50,mixed_syslog_2000.log,system,0.0.0.0,Local/Private (LU),0,0.4,0.67,11,4,121,0,1,normal,0.0,
